,Gene,Mut Cases,Mut Percentage,WT Cases,WT Percentage,Focal Cases,Focal Percentage
0,BAP1,30,11.450381679389313,226,86.25954198473282,6,2.2900763358778624
1,PBRM1,126,48.091603053435115,123,46.94656488549619,13,4.961832061068702
2,SETD2,55,20.99236641221374,191,72.90076335877863,16,6.106870229007633
3,BAP1,29,11.153846153846155,227,87.3076923076923,4,1.5384615384615385
4,PBRM1,124,47.69230769230769,124,47.69230769230769,12,4.615384615384616
5,SETD2,56,21.53846153846154,190,73.07692307692307,14,5.384615384615385
6,BAP1,26,10.276679841897234,224,88.53754940711462,3,1.185770750988142
7,PBRM1,122,48.22134387351779,120,47.43083003952569,11,4.3478260869565215
8,SETD2,58,22.92490118577075,182,71.93675889328063,13,5.138339920948617
9,BAP1,55,10.848126232741617,446,87.96844181459566,6,1.183431952662722
10,PBRM1,240,47.337278106508876,246,48.5207100591716,21,4.142011834319527
11,SETD2,111,21.893491124260358,370,72.97830374753451,26,5.128205128205128
